Code,Name,Category,Price_CLP,Availability,Delivery,Inventario,Supplier,Brand
PRI22763,PROYECTOR EPSON LASER POWERLITE L210W WXGA 3LCD,PROYECTOR EPSON LASER,2681233.3333333335,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,EPSON
PRI5HB10A,"PLOTTER HP 36"" DESIGNJET T650",PLOTTER DESIGNJET,2899933.3333333335,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,HP
PRI29223,PLOTTER CANON IMAGEPROGRAF TM-350,PLOTTER IMAGEPROGRAF,4570694.444444444,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,CANON
PRI2Y9H0A,"PLOTTER HP 36"" DESIGNJET T850",PLOTTER DESIGNJET,5066090.0,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,HP
PRI26764,PROYECTOR EPSON POWERLITE L630U FULL HD WUXGA,PROYECTOR EPSON POWERLITE,5433604.444444444,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,EPSON
PRI17612,TRITURADORA DE PAPEL HSM SECURIO B34 37 HOJAS,TRITURADORA DE PAPEL,2011928.8888888888,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,HSM
PRI2Y9H1A,"PLOTTER HP 36"" DESIGNJET T950",PLOTTER DESIGNJET,6111111.111111111,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,HP
PRI26790,IMPRESORA FOTOGRAFICA EPSON SURECOLOR P9750 111 CM,IMPRESORA FOTOGRAFICA EPSON,10423812.222222222,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,EPSON
PRI26789,IMPRESORA FOTOGRAFICA EPSON SURECOLOR P7570 61 CM,IMPRESORA FOTOGRAFICA EPSON,10474617.777777778,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,EPSON
PRI2Y9H2A,"PLOTTER HP MULTIFUNCIONAL 36"" DESIGNJET T850",PLOTTER HP MULTIFUNCIONAL,11159260.0,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,HP
PRI2Y9H3A,"PLOTTER HP MULTIFUNCIONAL 36"" DESIGNJET T950",PLOTTER HP MULTIFUNCIONAL,12305740.0,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,HP
PRI77705,LAPIZ GRAFITO ROSS HB N°2 REDONDO CAJA DE 12 UNIDADES,LAPIZ GRAFITO,1077.7777777777778,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,ROSS
82635,GOMA BORRAR FABER 7085-30 FABER CASTELL,GOMA DE BORRAR,558.3333333333334,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,FABER CASTELL
PRI12150RJ,BOLIGRAFO GEL PENTEL ENERGEL PUNTA METALICA 0.7 MM ROJO,LAPIZ GEL,1615.5555555555554,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,PENTEL
PRI99350,PINCEL ARTEL N°4 SERIE 103,PINCEL,432.22222222222223,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,ARTEL
PRI77369AZ,BOLIGRAFO GEL UNIBALL UMN-152 RETRACTIL 0.5 MM AZUL,LAPIZ GEL,1764.4444444444443,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,UNIBALL
PRI82688,PINCEL ARTEL N°5 SERIE 103,PINCEL,432.22222222222223,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,ARTEL
